"participant","counterbalance_group","exp_name","block","alien_stim","category","friendly","approach","key_resp_actual","correct","trial_started","trial_stopped","trial","condition"
1,"A","Category_Training_LabelAuditory",1,"resources/F7Fah0.png",1,1,FALSE,"[""up""]",0,227.278,230.8154,1,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F7Mdh0.png",1,1,TRUE,"[""left""]",1,234.8198,237.0213,2,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F8Fdh0.png",2,0,FALSE,"[""down""]",1,241.026,243.7448,3,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F7Mch0.png",1,1,TRUE,"[""left""]",1,247.7493,249.3673,4,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F7Mbh0.png",1,1,TRUE,"[""left""]",1,253.3715,255.0396,5,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F8Fch0.png",2,0,FALSE,"[""down""]",1,259.0438,260.8119,6,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F7Fbh0.png",1,1,FALSE,"[""down""]",0,264.8163,266.7347,7,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F7Mah0.png",1,1,TRUE,"[""left""]",1,270.7392,272.6406,8,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F8Mch0.png",2,0,TRUE,"[""left""]",0,276.645,278.1961,9,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F8Fah0.png",2,0,TRUE,"[""up""]",0,282.2006,285.2199,10,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F7Fdh0.png",1,1,FALSE,"[""up""]",0,289.2245,291.6763,11,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F8Mbh0.png",2,0,TRUE,"[""left""]",0,295.6808,297.5323,12,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F7Fch0.png",1,1,FALSE,"[""right""]",0,301.5367,303.2714,13,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F8Mdh0.png",2,0,TRUE,"[""right""]",0,307.2757,309.2274,14,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F8Fbh0.png",2,0,FALSE,"[""right""]",1,313.2318,316.1676,15,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",1,"resources/F8Mah0.png",2,0,TRUE,"[""down""]",0,320.1719,322.3238,16,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F8Fbh0.png",2,0,TRUE,"[""left""]",0,341.0626,343.2117,17,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F7Fch0.png",1,1,FALSE,"[""left""]",0,347.216,349.885,18,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F8Mch0.png",2,0,TRUE,"[""left""]",0,353.8894,355.9744,19,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F7Mbh0.png",1,1,TRUE,"[""left""]",1,359.9789,362.1639,20,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F7Fbh0.png",1,1,TRUE,"[""down""]",1,366.1683,368.9374,21,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F8Mdh0.png",2,0,FALSE,"[""down""]",1,372.942,375.2103,22,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F8Mbh0.png",2,0,TRUE,"[""left""]",0,379.2148,381.3665,23,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F8Fch0.png",2,0,FALSE,"[""down""]",1,385.371,388.1568,24,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F7Mdh0.png",1,1,TRUE,"[""up""]",1,392.1611,394.096,25,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F7Mch0.png",1,1,TRUE,"[""up""]",1,398.1004,400.1188,26,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F7Fah0.png",1,1,FALSE,"[""right""]",0,404.1231,406.4418,27,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F8Fdh0.png",2,0,FALSE,"[""down""]",1,410.4461,412.4478,28,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F7Mah0.png",1,1,TRUE,"[""down""]",1,416.4522,418.5705,29,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F7Fdh0.png",1,1,TRUE,"[""left""]",1,422.5751,424.9105,30,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F8Mah0.png",2,0,FALSE,"[""left""]",1,428.9149,431.0832,31,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",2,"resources/F8Fah0.png",2,0,TRUE,"[""right""]",0,435.0875,437.5564,32,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F7Mch0.png",1,1,TRUE,"[""up""]",1,451.5399,453.5725,33,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F8Mch0.png",2,0,TRUE,"[""left""]",0,457.577,459.7954,34,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F8Fdh0.png",2,0,TRUE,"[""left""]",0,463.7997,466.7691,35,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F8Mdh0.png",2,0,TRUE,"[""left""]",0,470.7735,477.3798,36,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F7Mdh0.png",1,1,TRUE,"[""right""]",1,481.3843,483.3192,37,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F7Fdh0.png",1,1,TRUE,"[""right""]",1,487.3236,489.4086,38,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F7Mah0.png",1,1,TRUE,"[""up""]",1,493.4129,512.949,39,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F7Fch0.png",1,1,TRUE,"[""up""]",1,516.9534,518.8883,40,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F8Fah0.png",2,0,FALSE,"[""right""]",1,522.8928,525.1445,41,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F8Fch0.png",2,0,FALSE,"[""left""]",1,529.1489,531.2173,42,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F8Mah0.png",2,0,FALSE,"[""up""]",1,535.2218,537.1899,43,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F7Fbh0.png",1,1,TRUE,"[""left""]",1,541.1778,543.0959,44,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F7Fah0.png",1,1,TRUE,"[""left""]",1,547.1002,548.9685,45,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F8Mbh0.png",2,0,FALSE,"[""down""]",1,552.9728,555.8087,46,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F8Fbh0.png",2,0,FALSE,"[""left""]",1,559.8131,561.848,47,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",3,"resources/F7Mbh0.png",1,1,TRUE,"[""up""]",1,565.8523,567.7875,48,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F7Mdh0.png",1,1,TRUE,"[""left""]",1,579.1849,581.301,49,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F7Fah0.png",1,1,TRUE,"[""up""]",1,585.3053,587.3404,50,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F7Fbh0.png",1,1,TRUE,"[""up""]",1,591.3447,594.264,51,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F8Fdh0.png",2,0,FALSE,"[""down""]",1,598.2683,600.3202,52,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F8Fah0.png",2,0,FALSE,"[""right""]",1,604.3245,606.4597,53,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F8Mch0.png",2,0,TRUE,"[""up""]",0,610.4638,612.3823,54,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F7Mbh0.png",1,1,TRUE,"[""right""]",1,616.3866,618.4549,55,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F7Mah0.png",1,1,TRUE,"[""down""]",1,622.4594,624.361,56,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F8Fch0.png",2,0,FALSE,"[""up""]",1,628.3654,630.4169,57,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F8Fbh0.png",2,0,TRUE,"[""right""]",0,634.4215,636.4229,58,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F7Fdh0.png",1,1,FALSE,"[""right""]",0,640.4108,642.3625,59,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F7Fch0.png",1,1,TRUE,"[""left""]",1,646.367,648.335,60,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F8Mbh0.png",2,0,FALSE,"[""down""]",1,652.3394,654.3911,61,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F8Mdh0.png",2,0,FALSE,"[""down""]",1,658.3954,660.3804,62,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F7Mch0.png",1,1,TRUE,"[""down""]",1,664.3851,666.3866,63,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",4,"resources/F8Mah0.png",2,0,FALSE,"[""down""]",1,670.3911,672.3593,64,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F7Mbh0.png",1,1,TRUE,"[""right""]",1,685.8092,687.9419,65,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F7Mdh0.png",1,1,TRUE,"[""down""]",1,691.9461,693.7976,66,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F8Fdh0.png",2,0,FALSE,"[""right""]",1,697.8018,699.887,67,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F7Mah0.png",1,1,TRUE,"[""left""]",1,703.8915,705.8095,68,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F8Fbh0.png",2,0,FALSE,"[""down""]",1,709.8139,712.0324,69,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F7Fch0.png",1,1,TRUE,"[""right""]",1,716.0368,718.5892,70,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F8Mah0.png",2,0,FALSE,"[""left""]",1,722.5935,725.0288,71,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F8Mdh0.png",2,0,TRUE,"[""left""]",0,729.0333,731.3185,72,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F8Mbh0.png",2,0,FALSE,"[""left""]",1,735.3229,737.6249,73,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F7Mch0.png",1,1,TRUE,"[""right""]",1,741.6293,744.0814,74,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F7Fdh0.png",1,1,FALSE,"[""left""]",0,748.0858,751.0383,75,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F8Fch0.png",2,0,FALSE,"[""left""]",1,755.0427,757.1945,76,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F8Fah0.png",2,0,FALSE,"[""down""]",1,761.1989,763.551,77,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F7Fah0.png",1,1,TRUE,"[""right""]",1,767.5554,769.7405,78,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F7Fbh0.png",1,1,TRUE,"[""left""]",1,773.7449,775.8633,79,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",5,"resources/F8Mch0.png",2,0,FALSE,"[""left""]",1,779.8512,781.9027,80,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F7Mch0.png",1,1,TRUE,"[""up""]",1,796.7375,799.0866,81,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F8Fdh0.png",2,0,FALSE,"[""up""]",1,803.0912,805.0427,82,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F7Fch0.png",1,1,TRUE,"[""up""]",1,809.0469,810.9152,83,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F7Fbh0.png",1,1,FALSE,"[""up""]",0,814.9195,818.2393,84,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F8Mch0.png",2,0,FALSE,"[""left""]",1,822.2438,824.2621,85,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F8Mah0.png",2,0,TRUE,"[""up""]",0,828.2664,830.3681,86,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F7Fah0.png",1,1,TRUE,"[""right""]",1,834.3726,836.2575,87,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F8Fbh0.png",2,0,FALSE,"[""up""]",1,840.2619,845.2666,88,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F8Mdh0.png",2,0,TRUE,"[""right""]",0,849.271,851.9065,89,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F8Mbh0.png",2,0,TRUE,"[""down""]",0,855.9108,857.8125,90,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F8Fah0.png",2,0,FALSE,"[""right""]",1,861.8168,863.7183,91,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F7Mdh0.png",1,1,TRUE,"[""right""]",1,867.7227,869.5909,92,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F7Fdh0.png",1,1,FALSE,"[""down""]",0,873.5952,875.5968,93,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F7Mbh0.png",1,1,TRUE,"[""down""]",1,879.6015,881.6531,94,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F7Mah0.png",1,1,TRUE,"[""up""]",1,885.6574,887.559,95,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",6,"resources/F8Fch0.png",2,0,FALSE,"[""down""]",1,891.5633,893.565,96,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F7Fdh0.png",1,1,FALSE,"[""down""]",0,904.1951,907.312,97,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F8Fdh0.png",2,0,FALSE,"[""up""]",1,911.2998,913.2515,98,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F8Fbh0.png",2,0,TRUE,"[""down""]",0,917.2559,919.9416,99,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F8Mah0.png",2,0,FALSE,"[""right""]",1,923.9461,925.9476,100,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F7Mbh0.png",1,1,TRUE,"[""down""]",1,929.952,931.8535,101,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F8Fah0.png",2,0,FALSE,"[""left""]",1,935.8579,937.7595,102,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F8Mbh0.png",2,0,TRUE,"[""down""]",0,941.764,944.2326,103,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F8Mch0.png",2,0,FALSE,"[""right""]",1,948.237,950.0718,104,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F7Mah0.png",1,1,TRUE,"[""right""]",1,954.0762,955.9278,105,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F8Mdh0.png",2,0,FALSE,"[""up""]",1,959.9322,961.8336,106,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F7Fch0.png",1,1,TRUE,"[""left""]",1,965.8381,968.0734,107,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F7Fah0.png",1,1,TRUE,"[""up""]",1,972.0777,974.73,108,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F7Mdh0.png",1,1,TRUE,"[""up""]",1,978.7345,980.486,109,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F8Fch0.png",2,0,TRUE,"[""down""]",0,984.4902,985.9746,110,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F7Mch0.png",1,1,TRUE,"[""left""]",1,989.9791,991.8971,111,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",7,"resources/F7Fbh0.png",1,1,FALSE,"[""left""]",0,995.8851,997.9199,112,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",8,"resources/F8Fbh0.png",2,0,FALSE,"[""left""]",1,1009.6015,1012.0674,113,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",8,"resources/F7Mch0.png",1,1,TRUE,"[""down""]",1,1016.0719,1018.1902,114,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",8,"resources/F7Fah0.png",1,1,TRUE,"[""left""]",1,1022.1949,1024.1463,115,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",8,"resources/F8Mah0.png",2,0,FALSE,"[""up""]",1,1028.1507,1030.1357,116,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",8,"resources/F8Fdh0.png",2,0,FALSE,"[""right""]",1,1034.1402,1036.1418,117,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",8,"resources/F7Mdh0.png",1,1,TRUE,"[""down""]",1,1040.1463,1042.0977,118,"Label_Auditory"
1,"A","Category_Training_LabelAuditory",8,"resources/F7Fbh0.png",1,1,FALSE,"[""right""]",0,1046.1023,1048.4708,119,"Label_Auditory"
