"participant","counterbalance_group","exp_name","block","alien_stim","category","friendly","approach","key_resp_actual","correct","trial_started","trial_stopped","trial","condition"
2,"A","Category_Training_LabelWritten",1,"resources/F8Fch0.png",2,0,FALSE,"[""down""]",1,78.5268,88.5239,1,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F7Mah0.png",1,1,FALSE,"[""up""]",0,92.5242,98.5732,2,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F8Fdh0.png",2,0,FALSE,"[""right""]",1,102.5741,104.823,3,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F7Fah0.png",1,1,FALSE,"[""up""]",0,108.824,112.7563,4,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F8Fah0.png",2,0,TRUE,"[""down""]",0,116.7568,120.6394,5,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F8Mch0.png",2,0,FALSE,"[""left""]",1,124.6401,129.5555,6,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F7Mdh0.png",1,1,FALSE,"[""right""]",0,133.5563,135.5724,7,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F8Mah0.png",2,0,TRUE,"[""up""]",0,139.573,145.8053,8,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F7Fbh0.png",1,1,TRUE,"[""right""]",1,149.806,152.2887,9,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F7Fdh0.png",1,1,TRUE,"[""down""]",1,156.2894,159.405,10,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F8Fbh0.png",2,0,FALSE,"[""up""]",1,163.4057,165.7047,11,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F7Mch0.png",1,1,TRUE,"[""up""]",1,169.7055,171.7213,12,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F8Mbh0.png",2,0,TRUE,"[""left""]",0,175.7224,178.1877,13,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F7Mbh0.png",1,1,TRUE,"[""down""]",1,182.1895,184.7709,14,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F7Fch0.png",1,1,TRUE,"[""up""]",1,188.7721,190.8713,15,"Label_Written"
2,"A","Category_Training_LabelWritten",1,"resources/F8Mdh0.png",2,0,FALSE,"[""left""]",1,194.8717,196.8042,16,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F8Fch0.png",2,0,FALSE,"[""right""]",1,221.2744,223.8869,17,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F8Fah0.png",2,0,FALSE,"[""right""]",1,227.8885,230.0534,18,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F7Fdh0.png",1,1,TRUE,"[""down""]",1,234.0541,236.07,19,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F7Fch0.png",1,1,TRUE,"[""left""]",1,240.0702,242.2365,20,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F7Mbh0.png",1,1,TRUE,"[""up""]",1,246.238,248.7195,21,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F8Mdh0.png",2,0,FALSE,"[""left""]",1,252.7208,254.7529,22,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F8Mch0.png",2,0,FALSE,"[""up""]",1,258.7537,260.6861,23,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F8Mah0.png",2,0,FALSE,"[""right""]",1,264.6872,266.7024,24,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F8Fbh0.png",2,0,FALSE,"[""down""]",1,270.7033,273.9688,25,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F7Mah0.png",1,1,TRUE,"[""left""]",1,277.9699,279.8685,26,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F8Fdh0.png",2,0,FALSE,"[""up""]",1,283.8696,287.3019,27,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F7Fah0.png",1,1,TRUE,"[""up""]",1,291.303,293.2019,28,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F7Mch0.png",1,1,TRUE,"[""down""]",1,297.2026,299.2017,29,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F7Fbh0.png",1,1,TRUE,"[""down""]",1,303.2033,305.6351,30,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F8Mbh0.png",2,0,TRUE,"[""down""]",0,309.636,311.7513,31,"Label_Written"
2,"A","Category_Training_LabelWritten",2,"resources/F7Mdh0.png",1,1,TRUE,"[""right""]",1,315.7526,318.5181,32,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F8Fdh0.png",2,0,FALSE,"[""right""]",1,343.1204,345.2673,33,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F8Mch0.png",2,0,FALSE,"[""right""]",1,349.2575,351.8339,34,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F7Fdh0.png",1,1,TRUE,"[""left""]",1,355.841,357.8339,35,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F7Mch0.png",1,1,FALSE,"[""down""]",0,361.8342,364.2573,36,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F8Fch0.png",2,0,FALSE,"[""right""]",1,368.2518,370.6166,37,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F8Fbh0.png",2,0,FALSE,"[""down""]",1,374.6173,376.9667,38,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F8Mah0.png",2,0,FALSE,"[""up""]",1,380.9673,383.5502,39,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F8Mdh0.png",2,0,FALSE,"[""left""]",1,387.5505,390.116,40,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F8Mbh0.png",2,0,FALSE,"[""up""]",1,394.1166,401.416,41,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F7Fch0.png",1,1,TRUE,"[""right""]",1,405.4166,410.4489,42,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F7Mdh0.png",1,1,FALSE,"[""up""]",0,414.4496,417.0491,43,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F8Fah0.png",2,0,FALSE,"[""right""]",1,421.0492,423.0322,44,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F7Fah0.png",1,1,TRUE,"[""up""]",1,427.0332,428.9819,45,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F7Mah0.png",1,1,FALSE,"[""right""]",0,432.9826,436.5653,46,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F7Mbh0.png",1,1,TRUE,"[""down""]",1,440.5655,444.4649,47,"Label_Written"
2,"A","Category_Training_LabelWritten",3,"resources/F7Fbh0.png",1,1,FALSE,"[""down""]",0,448.4655,452.4984,48,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F8Mdh0.png",2,0,FALSE,"[""left""]",1,463.6513,465.7885,49,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F8Fbh0.png",2,0,FALSE,"[""left""]",1,469.7821,471.9481,50,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F8Fch0.png",2,0,FALSE,"[""down""]",1,475.9481,478.0642,51,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F8Fah0.png",2,0,FALSE,"[""down""]",1,482.0646,484.031,52,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F8Mah0.png",2,0,FALSE,"[""down""]",1,488.0325,489.964,53,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F7Fch0.png",1,1,TRUE,"[""up""]",1,493.9645,496.0973,54,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F7Mch0.png",1,1,TRUE,"[""up""]",1,500.0978,503.7471,55,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F8Mch0.png",2,0,FALSE,"[""up""]",1,507.7478,510.4968,56,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F7Mah0.png",1,1,TRUE,"[""right""]",1,514.4973,516.3469,57,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F7Fdh0.png",1,1,FALSE,"[""right""]",0,520.3513,522.3134,58,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F7Fah0.png",1,1,TRUE,"[""left""]",1,526.3135,528.2131,59,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F7Mdh0.png",1,1,TRUE,"[""down""]",1,532.2134,534.3301,60,"Label_Written"
2,"A","Category_Training_LabelWritten",4,"resources/F8Mbh0.png",2,0,TRUE,"[""up""]",0,538.3306,540.7629,61,"Label_Written"
