"participant","counterbalance_group","exp_name","block","alien_stim","category","friendly","approach","key_resp_actual","correct","trial_started","trial_stopped","trial","condition"
5,"B","Category_Training_Location",1,"resources/F7Mdh0.png",1,0,TRUE,"[""left""]",0,48.1204,51.3766,1,"Location"
5,"B","Category_Training_Location",1,"resources/F8Mbh0.png",2,1,FALSE,"[""up"",""down""]",0,55.5813,58.448,2,"Location"
5,"B","Category_Training_Location",1,"resources/F7Mch0.png",1,0,TRUE,"[""right""]",0,62.6528,64.8531,3,"Location"
5,"B","Category_Training_Location",1,"resources/F8Mdh0.png",2,1,FALSE,"[""up""]",0,69.0567,71.1739,4,"Location"
5,"B","Category_Training_Location",1,"resources/F8Fah0.png",2,1,TRUE,"[""up""]",1,75.3778,77.3113,5,"Location"
5,"B","Category_Training_Location",1,"resources/F7Fah0.png",1,0,TRUE,"[""up""]",0,81.5154,83.5655,6,"Location"
5,"B","Category_Training_Location",1,"resources/F8Fch0.png",2,1,TRUE,"[""up""]",1,87.7701,89.4867,7,"Location"
5,"B","Category_Training_Location",1,"resources/F8Fdh0.png",2,1,TRUE,"[""down""]",1,93.691,95.9744,8,"Location"
5,"B","Category_Training_Location",1,"resources/F7Fdh0.png",1,0,FALSE,"[""left""]",1,100.1784,102.5125,9,"Location"
5,"B","Category_Training_Location",1,"resources/F7Fbh0.png",1,0,FALSE,"[""right""]",1,106.7174,108.9169,10,"Location"
5,"B","Category_Training_Location",1,"resources/F7Fch0.png",1,0,FALSE,"[""down""]",1,113.1212,115.1382,11,"Location"
5,"B","Category_Training_Location",1,"resources/F8Mch0.png",2,1,TRUE,"[""right""]",1,119.342,122.2094,12,"Location"
5,"B","Category_Training_Location",1,"resources/F8Fbh0.png",2,1,FALSE,"[""down""]",0,126.4146,128.4472,13,"Location"
5,"B","Category_Training_Location",1,"resources/F8Mah0.png",2,1,FALSE,"[""left""]",0,132.6514,134.9853,14,"Location"
5,"B","Category_Training_Location",1,"resources/F7Mbh0.png",1,0,FALSE,"[""up""]",1,139.1894,142.2403,15,"Location"
