"participant","counterbalance_group","exp_name","block","alien_stim","category","friendly","approach","key_resp_actual","correct","trial_started","trial_stopped","trial","condition"
6,"B","Category_Training_NoLabel",1,"resources/F8Mbh0.png",2,1,FALSE,"[""left""]",0,286.966,291.55,1,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F8Fdh0.png",2,1,TRUE,"[""down""]",1,295.552,299.001,2,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F7Mbh0.png",1,0,FALSE,"[""right""]",1,303.005,306.871,3,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F8Mah0.png",2,1,TRUE,"[""up""]",1,310.876,314.342,4,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F8Fch0.png",2,1,FALSE,"[""right""]",0,318.346,320.581,5,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F8Mch0.png",2,1,FALSE,"[""down""]",0,324.582,326.951,6,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F8Mdh0.png",2,1,FALSE,"[""left""]",0,330.952,333.453,7,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F8Fah0.png",2,1,FALSE,"[""up""]",0,337.455,339.603,8,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F7Fah0.png",1,0,TRUE,"[""up""]",0,343.607,345.776,9,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F7Mch0.png",1,0,FALSE,"[""right""]",1,349.777,352.312,10,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F7Mdh0.png",1,0,FALSE,"[""up""]",1,356.314,358.796,11,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F7Fbh0.png",1,0,FALSE,"[""down""]",1,362.8,365.669,12,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F8Fbh0.png",2,1,TRUE,"[""down""]",1,369.671,373.336,13,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F7Fdh0.png",1,0,FALSE,"[""left""]",1,377.34,379.889,14,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F7Fch0.png",1,0,FALSE,"[""right""]",1,383.893,385.942,15,"No_Label"
6,"B","Category_Training_NoLabel",1,"resources/F7Mah0.png",1,0,FALSE,"[""right""]",1,389.935,392.247,16,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F7Mch0.png",1,0,TRUE,"[""up""]",0,402.877,405.368,17,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F7Mah0.png",1,0,TRUE,"[""down""]",0,409.371,411.439,18,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F7Fch0.png",1,0,TRUE,"[""left""]",0,415.442,417.706,19,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F8Fdh0.png",2,1,TRUE,"[""right""]",1,421.695,423.66,20,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F8Mah0.png",2,1,TRUE,"[""down""]",1,427.665,430.014,21,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F7Fbh0.png",1,0,TRUE,"[""up""]",0,434.016,436.334,22,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F8Mbh0.png",2,1,TRUE,"[""up""]",1,440.336,445.07,23,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F7Mbh0.png",1,0,FALSE,"[""left""]",1,449.074,451.491,24,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F8Fah0.png",2,1,FALSE,"[""left""]",0,455.494,457.66,25,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F8Mdh0.png",2,1,FALSE,"[""down""]",0,461.662,464.297,26,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F7Fah0.png",1,0,FALSE,"[""left""]",1,468.3,470.866,27,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F8Fch0.png",2,1,FALSE,"[""up""]",0,474.868,477.152,28,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F7Fdh0.png",1,0,FALSE,"[""left""]",1,481.157,483.457,29,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F7Mdh0.png",1,0,FALSE,"[""up""]",1,487.459,489.659,30,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F8Mch0.png",2,1,FALSE,"[""right""]",0,493.662,501.914,31,"No_Label"
6,"B","Category_Training_NoLabel",2,"resources/F8Fbh0.png",2,1,FALSE,"[""up""]",0,505.918,507.902,32,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F7Mdh0.png",1,0,FALSE,"[""right""]",1,517.263,519.305,33,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F7Mbh0.png",1,0,FALSE,"[""down""]",1,523.308,525.392,34,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F7Fdh0.png",1,0,FALSE,"[""left""]",1,529.396,531.678,35,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F7Fbh0.png",1,0,FALSE,"[""up""]",1,535.681,538.58,36,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F7Fch0.png",1,0,FALSE,"[""down""]",1,542.583,544.601,37,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F8Fbh0.png",2,1,FALSE,"[""right""]",0,548.605,550.739,38,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F8Mbh0.png",2,1,FALSE,"[""left""]",0,554.741,556.523,39,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F8Fch0.png",2,1,FALSE,"[""left""]",0,560.528,562.609,40,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F7Mch0.png",1,0,FALSE,"[""down""]",1,566.612,568.528,41,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F8Fah0.png",2,1,FALSE,"[""up""]",0,572.531,574.532,42,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F8Fdh0.png",2,1,FALSE,"[""right""]",0,578.533,580.601,43,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F8Mch0.png",2,1,FALSE,"[""left""]",0,584.604,586.757,44,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F8Mah0.png",2,1,FALSE,"[""left""]",0,590.758,593.04,45,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F7Mah0.png",1,0,FALSE,"[""left""]",1,597.044,598.961,46,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F8Mdh0.png",2,1,FALSE,"[""right""]",0,602.964,604.88,47,"No_Label"
6,"B","Category_Training_NoLabel",3,"resources/F7Fah0.png",1,0,FALSE,"[""down""]",1,608.884,611.218,48,"No_Label"
6,"B","Category_Training_NoLabel",4,"resources/F7Mah0.png",1,0,FALSE,"[""down""]",1,971.229,973.49,49,"No_Label"
6,"B","Category_Training_NoLabel",4,"resources/F8Fch0.png",2,1,FALSE,"[""up""]",0,977.492,979.574,50,"No_Label"
6,"B","Category_Training_NoLabel",4,"resources/F7Mch0.png",1,0,FALSE,"[""right""]",1,983.576,985.409,51,"No_Label"
6,"B","Category_Training_NoLabel",4,"resources/F7Fch0.png",1,0,FALSE,"[""right""]",1,989.415,991.382,52,"No_Label"
6,"B","Category_Training_NoLabel",4,"resources/F7Fdh0.png",1,0,FALSE,"[""down""]",1,995.384,997.718,53,"No_Label"
6,"B","Category_Training_NoLabel",4,"resources/F7Fbh0.png",1,0,FALSE,"[""right""]",1,1001.72,1003.638,54,"No_Label"
6,"B","Category_Training_NoLabel",4,"resources/F7Mbh0.png",1,0,TRUE,"[""right""]",0,1007.64,1009.788,55,"No_Label"
6,"B","Category_Training_NoLabel",4,"resources/F8Fah0.png",2,1,FALSE,"[""right""]",0,1013.79,1015.924,56,"No_Label"
6,"B","Category_Training_NoLabel",4,"resources/F8Mch0.png",2,1,FALSE,"[""down""]",0,1019.926,1022.246,57,"No_Label"
6,"B","Category_Training_NoLabel",4,"resources/F8Mdh0.png",2,1,FALSE,"[""right""]",0,1026.248,1028.863,58,"No_Label"
6,"B","Category_Training_NoLabel",4,"resources/F8Fdh0.png",2,1,FALSE,"[""left""]",0,1032.866,1035.151,59,"No_Label"
6,"B","Category_Training_NoLabel",4,"resources/F8Mbh0.png",2,1,FALSE,"[""down""]",0,1039.153,1041.32,60,"No_Label"
