"counterbalance_group","counterbalance_remaining","consent_started","consent_stopped","key_resp_7_keys","key_resp_7_rt","key_resp_7_duration","age","gender","date","exp_name","psychopy_version","os","frame_rate","instructions_started","instructions_stopped","key_resp_2_keys","key_resp_2_rt","key_resp_2_duration","instructions_2_started","instructions_2_stopped","key_resp_4_keys","key_resp_4_rt","key_resp_4_duration","trial_started","key_resp_actual","trial_stopped","correct","approach","friendly","block","key_resp_keys","feedback_started","feedback_stopped","cue_started","cue_stopped","intertrial_interval_started","intertrial_interval_stopped","trials_this_rep_n","trials_this_trial_n","trials_this_n","trials_this_index","trials_ran","alien_stim","category","verification_trial_started","verification_trial_stopped","verification_correct","verification_prompt","key_resp_6_keys","key_resp_6_rt","key_resp_6_duration","block_feedback_started","block_feedback_stopped","key_resp_3_keys","key_resp_3_rt","key_resp_3_duration","end_game_started","end_game_stopped","key_resp_5_keys","key_resp_5_rt","key_resp_5_duration"
"A",NA,0.5078,4.8093,"space",4.2716,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,4.8095,50.3745,"space",45.5344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,50.3747,78.5077,"space",28.0988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5268,"[""down""]",88.5239,1,FALSE,0,1,NA,88.5253,89.7234,89.7238,91.5233,91.5234,92.5237,0,0,0,10,1,"resources/F8Fch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5242,"[""up""]",98.5732,0,FALSE,1,1,NA,98.574,99.7731,99.7742,101.5734,101.5734,102.5737,0,1,1,4,1,"resources/F7Mah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.5741,"[""right""]",104.823,1,FALSE,0,1,NA,104.8233,106.023,106.0235,107.8228,107.8228,108.8236,0,2,2,11,1,"resources/F8Fdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.824,"[""up""]",112.7563,0,FALSE,1,1,NA,112.757,113.9559,113.9567,115.756,115.7561,116.7563,0,3,3,0,1,"resources/F7Fah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.7568,"[""down""]",120.6394,0,TRUE,0,1,NA,120.64,121.8398,121.8406,123.6389,123.6389,124.6395,0,4,4,8,1,"resources/F8Fah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.6401,"[""left""]",129.5555,1,FALSE,0,1,NA,129.5559,130.7559,130.7561,132.5557,132.5557,133.5559,0,5,5,14,1,"resources/F8Mch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.5563,"[""right""]",135.5724,0,FALSE,1,1,NA,135.5728,136.7724,136.7732,138.5721,138.5722,139.5726,0,6,6,7,1,"resources/F7Mdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
