"counterbalance_group","counterbalance_remaining","consent_started","consent_stopped","key_resp_7_keys","key_resp_7_rt","key_resp_7_duration","age","gender","date","exp_name","psychopy_version","os","frame_rate","instructions_started","instructions_stopped","key_resp_2_keys","key_resp_2_rt","key_resp_2_duration","instructions_2_started","instructions_2_stopped","key_resp_4_keys","key_resp_4_rt","key_resp_4_duration","trial_started","key_resp_actual","trial_stopped","correct","approach","friendly","block","key_resp_keys","feedback_started","feedback_stopped","cue_started","cue_stopped","intertrial_interval_started","intertrial_interval_stopped","trials_this_rep_n","trials_this_trial_n","trials_this_n","trials_this_index","trials_ran","alien_stim","category","verification_trial_started","verification_trial_stopped","verification_correct","verification_prompt","key_resp_6_keys","key_resp_6_rt","key_resp_6_duration","block_feedback_started","block_feedback_stopped","key_resp_3_keys","key_resp_3_rt","key_resp_3_duration"
"B",NA,1.0464,6.0955,"space",4.9822,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,6.0959,33.9651,"space",27.8463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,33.9654,48.0751,"space",14.0768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1204,"[""left""]",51.3766,0,TRUE,0,1,NA,51.3787,52.5775,52.5781,54.5788,54.579,55.5797,0,0,0,7,1,"resources/F7Mdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5813,"[""up"",""down""]",58.448,0,FALSE,1,1,NA,58.4494,59.6492,59.6501,61.6502,61.6504,62.6513,0,1,1,13,1,"resources/F8Mbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.6528,"[""right""]",64.8531,0,TRUE,0,1,NA,64.8543,66.0541,66.0549,68.055,68.0552,69.0557,0,2,2,6,1,"resources/F7Mch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.0567,"[""up""]",71.1739,0,FALSE,1,1,NA,71.1751,72.3749,72.3755,74.3763,74.3765,75.3768,0,3,3,15,1,"resources/F8Mdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3778,"[""up""]",77.3113,1,TRUE,1,1,NA,77.3121,78.5125,78.5133,80.5135,80.5136,81.5144,0,4,4,8,1,"resources/F8Fah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.5154,"[""up""]",83.5655,0,TRUE,0,1,NA,83.5664,84.7666,84.7671,86.768,86.7682,87.7688,0,5,5,0,1,"resources/F7Fah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.7701,"[""up""]",89.4867,1,TRUE,1,1,NA,89.4878,90.6876,90.6882,92.6887,92.6888,93.6898,0,6,6,10,1,"resources/F8Fch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.691,"[""down""]",95.9744,1,TRUE,1,1,NA,95.9754,97.1751,97.1756,99.1769,99.1771,100.1776,0,7,7,11,1,"resources/F8Fdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.1784,"[""left""]",102.5125,1,FALSE,0,1,NA,102.5149,103.7134,103.714,105.7146,105.7148,106.7157,0,8,8,3,1,"resources/F7Fdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.7174,"[""right""]",108.9169,1,FALSE,0,1,NA,108.9178,110.1179,110.1186,112.1193,112.1194,113.1201,0,9,9,1,1,"resources/F7Fbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.1212,"[""down""]",115.1382,1,FALSE,0,1,NA,115.139,116.3391,116.3398,118.3401,118.3402,119.3408,0,10,10,2,1,"resources/F7Fch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.342,"[""right""]",122.2094,1,TRUE,1,1,NA,122.2103,123.4102,123.4108,125.4118,125.4119,126.4131,0,11,11,14,1,"resources/F8Mch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.4146,"[""down""]",128.4472,0,FALSE,1,1,NA,128.4483,129.6483,129.6489,131.6495,131.6495,132.6505,0,12,12,9,1,"resources/F8Fbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.6514,"[""left""]",134.9853,0,FALSE,1,1,NA,134.9862,136.1861,136.1865,138.1877,138.1878,139.1882,0,13,13,12,1,"resources/F8Mah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.1894,"[""up""]",142.2403,1,FALSE,0,1,NA,142.2411,143.4414,143.4419,145.4426,145.4427,146.4436,0,14,14,5,1,"resources/F7Mbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.445,"[""left""]",148.7119,1,FALSE,0,1,NA,148.7128,149.9127,149.9131,151.9137,151.9139,152.915,0,15,15,4,1,"resources/F7Mah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.3687,"[""up""]",170.7438,1,TRUE,1,2,NA,170.7446,171.9449,171.9456,173.946,173.9462,174.947,0,0,0,11,1,"resources/F8Fdh0.png",2,152.9167,162.9399,0,"down","right",9.9686,NA,162.9415,166.358,"space",3.3776,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.9478,"[""right""]",177.0482,1,FALSE,0,2,NA,177.0491,178.2493,178.2498,180.2504,180.2506,181.2513,0,1,1,1,1,"resources/F7Fbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.2523,"[""down""]",183.3191,1,FALSE,0,2,NA,183.32,184.5204,184.5211,186.5219,186.5222,187.5224,0,2,2,0,1,"resources/F7Fah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.5235,"[""right""]",189.5403,1,TRUE,1,2,NA,189.541,190.7416,190.7422,192.7426,192.7427,193.7432,0,3,3,10,1,"resources/F8Fch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.7442,"[""left""]",196.4954,1,FALSE,0,2,NA,196.4961,197.6962,197.6969,199.6975,199.6977,200.6983,0,4,4,7,1,"resources/F7Mdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.699,"[""up""]",202.7829,1,FALSE,0,2,NA,202.7836,203.9847,203.9867,205.9851,205.9853,206.9862,0,5,5,6,1,"resources/F7Mch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.987,"[""down""]",209.104,1,FALSE,0,2,NA,209.1046,210.3051,210.3056,212.3063,212.3064,213.3121,0,6,6,3,1,"resources/F7Fdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.313,"[""down""]",216.5098,1,TRUE,1,2,NA,216.5106,217.7106,217.7112,219.7116,219.7117,220.7128,0,7,7,8,1,"resources/F8Fah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.7136,"[""down""]",222.8135,1,FALSE,0,2,NA,222.8145,224.0146,224.0152,226.016,226.0161,227.0168,0,8,8,4,1,"resources/F7Mah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.0178,"[""right""]",228.9348,1,TRUE,1,2,NA,228.9356,230.1357,230.1364,232.1371,232.1371,233.1377,0,9,9,14,1,"resources/F8Mch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.1386,"[""left""]",235.089,1,FALSE,0,2,NA,235.0897,236.29,236.2906,238.2912,238.2913,239.2927,0,10,10,2,1,"resources/F7Fch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.2938,"[""up""]",241.1599,1,TRUE,1,2,NA,241.1606,242.3611,242.3615,244.362,244.362,245.3631,0,11,11,15,1,"resources/F8Mdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.3641,"[""right""]",247.7315,1,TRUE,1,2,NA,247.7322,248.9367,248.9372,250.9336,250.9338,251.9221,0,12,12,12,1,"resources/F8Mah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.9229,"[""right""]",254.386,0,FALSE,1,2,NA,254.3869,255.5873,255.5881,257.5881,257.5882,258.5891,0,13,13,9,1,"resources/F8Fbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.59,"[""left""]",261.3079,0,FALSE,1,2,NA,261.3091,262.5085,262.5092,264.51,264.51,265.5106,0,14,14,13,1,"resources/F8Mbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.5128,"[""up""]",267.4453,0,TRUE,0,2,NA,267.4462,268.6461,268.6472,270.6475,270.6476,271.6483,0,15,15,5,1,"resources/F7Mbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.9986,"[""right""]",284.4406,0,TRUE,0,3,NA,284.4414,285.6415,285.6423,287.6426,287.6428,288.6436,0,0,0,3,1,"resources/F7Fdh0.png",1,271.649,279.3535,0,"down","right",7.6725,NA,279.3557,281.989,"space",2.6069,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.6445,"[""right""]",291.6458,1,FALSE,0,3,NA,291.6465,292.8463,292.8469,294.8478,294.848,295.8486,0,1,1,1,1,"resources/F7Fbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295.8495,"[""left""]",297.8333,0,TRUE,0,3,NA,297.8342,299.0343,299.0348,301.0354,301.0356,302.0365,0,2,2,7,1,"resources/F7Mdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.0375,"[""up""]",304.5546,1,TRUE,1,3,NA,304.5554,305.7556,305.7562,307.7569,307.7571,308.7466,0,3,3,13,1,"resources/F8Mbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.7482,"[""left""]",312.4267,1,FALSE,0,3,NA,312.4274,313.6277,313.6283,315.6291,315.6293,316.6299,0,4,4,2,1,"resources/F7Fch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.6311,"[""up""]",319.6819,1,TRUE,1,3,NA,319.6828,320.8832,320.8838,322.8843,322.8844,323.885,0,5,5,12,1,"resources/F8Mah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323.8858,"[""up""]",325.5697,1,TRUE,1,3,NA,325.5704,326.7704,326.771,328.7717,328.7718,329.7725,0,6,6,15,1,"resources/F8Mdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329.7734,"[""left""]",332.0073,1,TRUE,1,3,NA,332.008,333.2084,333.209,335.2094,335.2095,336.2107,0,7,7,11,1,"resources/F8Fdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.2118,"[""left""]",338.4118,0,FALSE,1,3,NA,338.4126,339.6127,339.6134,341.6138,341.6138,342.6149,0,8,8,8,1,"resources/F8Fah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342.6159,"[""down""]",344.8663,1,FALSE,0,3,NA,344.8671,346.0679,346.0688,348.0684,348.0685,349.0696,0,9,9,6,1,"resources/F7Mch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.0705,"[""left""]",351.204,1,FALSE,0,3,NA,351.2047,352.4051,352.4057,354.4066,354.4069,355.4069,0,10,10,0,1,"resources/F7Fah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.4079,"[""left""]",358.5593,0,FALSE,1,3,NA,358.5602,359.7602,359.7607,361.7617,361.7617,362.7626,0,11,11,14,1,"resources/F8Mch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362.7638,"[""up""]",365.2142,0,FALSE,1,3,NA,365.2149,366.4149,366.4155,368.4162,368.4163,369.4182,0,12,12,9,1,"resources/F8Fbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369.4192,"[""right""]",371.4526,1,TRUE,1,3,NA,371.4537,372.6526,372.6531,374.6545,374.6546,375.6548,0,13,13,10,1,"resources/F8Fch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.6562,"[""down""]",378.2232,1,FALSE,0,3,NA,378.2239,379.4238,379.4245,381.4253,381.4254,382.4259,0,14,14,5,1,"resources/F7Mbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.427,"[""right""]",384.3274,1,FALSE,0,3,NA,384.328,385.5282,385.5288,387.5294,387.5295,388.5302,0,15,15,4,1,"resources/F7Mah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,27,"male","2025-11-21_17h01.47.689","Category_Training_Location","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407.402,"[""down""]",410.1456,0,FALSE,1,4,NA,410.1463,411.3465,411.347,413.3478,413.3479,414.3485,0,0,0,9,1,"resources/F8Fbh0.png",2,388.5306,400.7391,0,"up","right",12.1904,NA,400.7414,407.3938,"space",6.6253,NA
