"counterbalance_group","counterbalance_remaining","consent_started","consent_stopped","key_resp_7_keys","key_resp_7_rt","key_resp_7_duration","age","gender","date","exp_name","psychopy_version","os","frame_rate","instructions_started","instructions_stopped","key_resp_2_keys","key_resp_2_rt","key_resp_2_duration","instructions_2_started","instructions_2_stopped","key_resp_4_keys","key_resp_4_rt","key_resp_4_duration","trial_started","key_resp_actual","trial_stopped","correct","approach","friendly","block","key_resp_keys","feedback_started","feedback_stopped","cue_started","cue_stopped","intertrial_interval_started","intertrial_interval_stopped","trials_this_rep_n","trials_this_trial_n","trials_this_n","trials_this_index","trials_ran","alien_stim","category","block_feedback_started","block_feedback_stopped","key_resp_3_keys","key_resp_3_rt","key_resp_3_duration"
"B",NA,0.607,252.385,"space",251.631,NA,50,"Female","2025-11-21_14h24.53.723","Category_Training_NoLabel","2024.2.4","MacIntel",37.03703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,50,"Female","2025-11-21_14h24.53.723","Category_Training_NoLabel","2024.2.4","MacIntel",37.03703704,252.386,271.923,"space",19.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,50,"Female","2025-11-21_14h24.53.723","Category_Training_NoLabel","2024.2.4","MacIntel",37.03703704,NA,NA,NA,NA,NA,271.924,286.93,"space",14.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,50,"Female","2025-11-21_14h24.53.723","Category_Training_NoLabel","2024.2.4","MacIntel",37.03703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.966,"[""left""]",291.55,0,FALSE,1,1,NA,291.552,292.748,292.748,294.55,294.551,295.551,0,0,0,13,1,"resources/F8Mbh0.png",2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,50,"Female","2025-11-21_14h24.53.723","Category_Training_NoLabel","2024.2.4","MacIntel",37.03703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295.552,"[""down""]",299.001,1,TRUE,1,1,NA,299.002,300.201,300.201,302.004,302.004,303.004,0,1,1,11,1,"resources/F8Fdh0.png",2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,50,"Female","2025-11-21_14h24.53.723","Category_Training_NoLabel","2024.2.4","MacIntel",37.03703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.005,"[""right""]",306.871,1,FALSE,0,1,NA,306.873,308.073,308.074,309.873,309.873,310.874,0,2,2,5,1,"resources/F7Mbh0.png",1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,50,"Female","2025-11-21_14h24.53.723","Category_Training_NoLabel","2024.2.4","MacIntel",37.03703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310.876,"[""up""]",314.342,1,TRUE,1,1,NA,314.344,315.535,315.536,317.344,317.344,318.345,0,3,3,12,1,"resources/F8Mah0.png",2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,50,"Female","2025-11-21_14h24.53.723","Category_Training_NoLabel","2024.2.4","MacIntel",37.03703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318.346,"[""right""]",320.581,0,FALSE,1,1,NA,320.581,321.779,321.78,323.58,323.58,324.581,0,4,4,10,1,"resources/F8Fch0.png",2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,50,"Female","2025-11-21_14h24.53.723","Category_Training_NoLabel","2024.2.4","MacIntel",37.03703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324.582,"[""down""]",326.951,0,FALSE,1,1,NA,326.952,328.15,328.15,329.949,329.949,330.95,0,5,5,14,1,"resources/F8Mch0.png",2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,50,"Female","2025-11-21_14h24.53.723","Category_Training_NoLabel","2024.2.4","MacIntel",37.03703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.952,"[""left""]",333.453,0,FALSE,1,1,NA,333.454,334.652,334.652,336.453,336.453,337.453,0,6,6,15,1,"resources/F8Mdh0.png",2,NA,NA,NA,NA,NA
